code_insee,eedf,total
1,1,1
2,0,0
3,1,3
4,0,0
5,0,2
6,1,1
7,0,2
8,0,0
9,0,4
10,3,3
11,0,1
12,0,9
13,0,0
14,0,0
15,0,1
16,0,1
17,0,1
18,0,0
19,0,0
2A,0,1
2B,0,0
21,3,3
22,0,0
23,0,0
24,1,3
25,0,3
26,0,0
27,0,0
28,0,0
29,0,2
30,0,5
31,0,3
32,0,1
33,0,2
34,0,6
35,0,1
36,0,0
37,1,1
38,0,2
39,0,1
40,0,0
41,0,0
42,1,1
43,0,0
44,0,0
45,0,1
46,0,1
47,0,0
48,1,2
49,0,2
50,0,0
51,0,0
52,0,1
53,0,2
54,0,0
55,0,0
56,1,5
57,0,1
58,0,1
59,0,8
60,0,0
61,0,1
62,0,0
63,0,6
64,0,2
65,1,2
66,0,3
67,0,2
68,0,1
69D,2,2
69M,0,0
70,0,0
71,0,3
72,0,0
73,0,1
74,0,0
75,0,0
76,0,2
77,0,0
78,0,0
79,0,1
80,0,0
81,11,13
82,0,1
83,0,0
84,1,1
85,0,1
86,3,4
87,0,0
88,0,3
89,0,0
90,0,1
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
