DEPARTEMENT,NB TOTAL,CPN,CPNB,CPNV,CENTRE,TERRAIN,LOCATION,EXT,FERME,CAMPING,MAIRIE,SGDF,COLONIE
01,1,0,0,0,1,0,0,0,0,0,0,0,0
02,0,0,0,0,0,0,0,0,0,0,0,0,0
03,3,0,0,0,1,0,2,0,0,0,0,0,0
04,0,0,0,0,0,0,0,0,0,0,0,0,0
05,2,0,0,0,0,0,1,0,0,0,0,0,1
06,1,0,0,0,1,0,0,0,0,0,0,0,0
07,2,0,0,0,0,0,0,0,0,0,2,0,0
08,0,0,0,0,0,0,0,0,0,0,0,0,0
09,4,0,0,0,0,0,0,4,0,0,0,0,0
10,3,0,0,0,3,0,0,0,0,0,0,0,0
11,1,0,0,0,0,0,0,1,0,0,0,0,0
12,9,0,5,0,0,0,0,4,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,0,0,0,0,0,0,1,0,0,0,0,0
16,1,0,0,0,0,0,0,1,0,0,0,0,0
17,1,0,0,0,0,0,0,0,0,1,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,0,0,0,0,0,0,0,1,0,0,0,0
21,3,0,0,0,3,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3,0,0,0,1,0,0,2,0,0,0,0,0
25,3,0,0,0,0,1,1,0,0,1,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2,0,0,0,0,1,0,0,1,0,0,0,0
30,5,0,0,0,0,0,0,3,0,1,0,1,0
31,3,0,0,0,0,0,0,2,0,0,0,1,0
32,1,0,0,0,0,0,0,1,0,0,0,0,0
33,2,0,0,0,0,0,0,2,0,0,0,0,0
34,6,0,0,0,0,0,0,6,0,0,0,0,0
35,1,0,0,0,0,0,0,1,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1,0,0,0,1,0,0,0,0,0,0,0,0
38,2,0,0,0,0,0,0,1,0,0,1,0,0
39,1,0,0,0,0,0,0,0,0,1,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1,0,0,0,1,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,0,0,0,0,0,0,1,0,0,0,0,0
46,1,0,0,0,0,0,0,1,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2,0,0,0,1,0,0,1,0,0,0,0,0
49,2,0,0,0,0,1,0,1,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1,0,0,0,0,0,0,1,0,0,0,0,0
53,2,0,0,0,0,0,0,1,1,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0
56,5,0,0,0,1,0,0,2,0,0,1,1,0
57,1,0,0,0,0,0,0,1,0,0,0,0,0
58,1,0,0,0,0,0,0,1,0,0,0,0,0
59,8,7,0,0,0,0,0,0,1,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1,0,0,0,0,0,0,0,1,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0
63,6,5,0,0,0,0,0,0,0,0,1,0,0
64,2,0,0,0,0,0,0,0,0,2,0,0,0
65,2,0,1,0,1,0,0,0,0,0,0,0,0
66,3,0,0,2,0,0,0,0,0,0,0,1,0
67,2,0,0,0,0,0,0,2,0,0,0,0,0
68,1,0,0,0,0,0,0,0,0,0,0,1,0
69D,2,0,0,0,2,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0
71,3,0,0,0,0,0,0,3,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1,0,0,0,0,0,0,1,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2,0,0,0,0,0,0,0,2,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1,0,0,0,0,0,0,1,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0
81,13,0,0,0,11,0,0,0,1,1,0,0,0
82,1,0,0,0,0,0,0,1,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1,0,0,0,1,0,0,0,0,0,0,0,0
85,1,0,0,0,0,0,0,1,0,0,0,0,0
86,4,0,0,0,3,0,0,0,0,1,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0,0,0
88,3,3,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1,1,0,0,0,0,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0,0,0
